model,split,class,P,R,mAP50,mAP50-95
YOLOv8m,val,all,0.789,0.7184,0.7831,0.4652
YOLOv8m,val,smoke,0.8291,0.7819,0.8395,0.5355
YOLOv8m,val,fire,0.7489,0.6549,0.7268,0.395
YOLOv8m,test,all,0.7944,0.7219,0.7854,0.4554
YOLOv8m,test,smoke,0.8462,0.8023,0.8523,0.5286
YOLOv8m,test,fire,0.7426,0.6414,0.7186,0.3822
YOLO26m,val,all,0.7981,0.7202,0.788,0.4741
YOLO26m,val,smoke,0.8329,0.7887,0.8434,0.542
YOLO26m,val,fire,0.7633,0.6517,0.7327,0.4062
YOLO26m,test,all,0.7794,0.7224,0.7779,0.4629
YOLO26m,test,smoke,0.8237,0.7943,0.8422,0.5388
YOLO26m,test,fire,0.7351,0.6505,0.7135,0.387
YOLO26s,val,all,0.8051,0.7221,0.7847,0.4786
YOLO26s,val,smoke,0.85,0.7908,0.8395,0.5488
YOLO26s,val,fire,0.7601,0.6535,0.7298,0.4084
YOLO26s,test,all,0.7829,0.7283,0.7751,0.4636
YOLO26s,test,smoke,0.8425,0.7988,0.8433,0.5427
YOLO26s,test,fire,0.7233,0.6577,0.7068,0.3845
